Gender,Married,Age,WorkExperience,SpendingScore,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Profession_unknown,Cluster,Cluster_xgb
0,0,1.0492160731345104,2.611608162326937,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,1.109058111902823,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,1,0.7500058792929462,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,0.9893740343661974,-0.144861573,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,1.4681103445127002,-0.757410403,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,0,-1.464149555,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,0.809847918061259,1.6927849173568634,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,0,-1.464149555,0.7739616723867898,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,0.45079568545138193,0.1614128424067407,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,2.5452670423423314,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,1,1.8271625771225772,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,0,-1.2247814,1.0802360873768142,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,0.2114275303781306,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,0,-1.464149555,1.386510502366839,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,0.39095364668306914,-0.757410403,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,2.186214809732454,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,1,2.0665307321958286,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
0,0,0.27126956914644346,-0.757410403,-0.736833105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,1.5877944220493259,-0.451135988,0.612410991612868,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,1,0.39095364668306914,0.1614128424067407,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0
0,1,2.3657409260373927,-0.757410403,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,0,-0.506676935,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,0,-0.446834896,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,0,-0.506676935,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,-0.506676935,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,0,-1.523991594,0.1614128424067407,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,1.7673205383542643,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,1,1.109058111902823,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,1,0.1515854916098178,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,-0.027940625,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
0,0,-0.686203051,1.386510502366839,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
1,0,-0.26730878,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,2.7247931586472696,-0.757410403,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
0,0,-1.523991594,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,0.809847918061259,-0.757410403,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,0,-1.523991594,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,1.6476364608176386,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,1,1.527952383281013,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,0,-0.087782663,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,0,-0.446834896,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,2.186214809732454,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,1,1.527952383281013,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
0,1,1.4082683057443872,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,0.2114275303781306,-0.451135988,0.612410991612868,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,0.3311116079147563,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,-0.686203051,1.9990593323468882,-0.736833105,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
0,1,1.2885842282077615,-0.451135988,0.612410991612868,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
0,1,2.0665307321958286,-0.757410403,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,0,-0.626361012,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,0.27126956914644346,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,1,0.8696899568295718,-0.451135988,0.612410991612868,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,2.3657409260373927,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
0,0,-0.805887129,1.9990593323468882,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
0,0,-0.506676935,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,0,-0.686203051,1.0802360873768142,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,1.527952383281013,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4
0,1,1.6476364608176386,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,0,-0.027940625,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,2
1,1,-0.386992857,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,0,-0.087782663,-0.757410403,-0.736833105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,1.5877944220493259,-0.451135988,0.612410991612868,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,0,0.1515854916098178,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,0,-1.344465478,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,1.5877944220493259,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,1,1.0492160731345104,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,1,0.9893740343661974,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,0,-0.386992857,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,-0.805887129,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,0,-0.686203051,-0.451135988,-0.736833105,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,-1.045255284,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,0,-0.087782663,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2
0,0,-1.523991594,-0.451135988,-0.736833105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,2.186214809732454,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,1,-0.865729167,1.6927849173568634,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
0,1,2.664951119878957,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,1,1.5877944220493259,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
0,1,0.39095364668306914,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,-0.027940625,0.4676872573967652,0.612410991612868,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,0.45079568545138193,1.0802360873768142,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,0.39095364668306914,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,1.8271625771225772,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,3
0,0,-0.865729167,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,0,-0.686203051,-0.451135988,-0.736833105,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,0.9893740343661974,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,0,0.1515854916098178,-0.144861573,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2
0,1,2.246056848500767,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,3
1,1,-0.147624702,-0.451135988,0.612410991612868,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,-1.284623439,-0.757410403,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,-0.386992857,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,-0.027940625,-0.757410403,-0.736833105,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,1,0.39095364668306914,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,-0.506676935,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,1.2885842282077615,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
0,0,-0.147624702,-0.757410403,-0.736833105,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,0,-0.925571206,1.6927849173568634,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,0.6901638405246333,0.4676872573967652,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,0.8696899568295718,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,0,-0.925571206,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,0.27126956914644346,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,2.0665307321958286,-0.451135988,1.9616550878260355,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
0,0,-0.506676935,-0.451135988,-0.736833105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,1.946846654659203,-0.757410403,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
0,1,2.664951119878957,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
1,1,1.0492160731345104,-0.451135988,0.612410991612868,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
0,1,2.1263727709641413,-0.451135988,1.9616550878260355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,0,-0.805887129,-0.757410403,-0.736833105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,1,1.527952383281013,-0.757410403,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
1,1,1.2885842282077615,-0.451135988,0.612410991612868,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,1.5877944220493259,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
1,1,-0.686203051,-0.757410403,0.612410991612868,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,0.1515854916098178,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
1,0,-1.344465478,1.6927849173568634,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,0.2114275303781306,-0.451135988,-0.736833105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
0,0,-0.26730878,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2
1,1,2.485425003574018,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
0,0,1.3484262669760745,-0.757410403,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
0,1,0.39095364668306914,-0.451135988,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,-0.087782663,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,0.5704797629880076,1.9990593323468882,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,-0.386992857,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,0.09174345284150495,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3
0,0,1.3484262669760745,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
1,0,-0.626361012,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2
1,1,-0.207466741,0.4676872573967652,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2
0,1,-0.506676935,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
1,0,-0.985413245,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,0.27126956914644346,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
0,1,0.7500058792929462,-0.757410403,0.612410991612868,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,1,-1.105097323,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2
0,0,-0.805887129,-0.451135988,-0.736833105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2
0,1,0.1515854916098178,1.386510502366839,-0.736833105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
1,1,0.3311116079147563,-0.757410403,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,3
1,1,1.7074784995859515,-0.451135988,-0.736833105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,3
0,1,2.1263727709641413,-0.451135988,1.9616550878260355,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,4
