Gender,Married,Age,Profession,WorkExperience,SpendingScore,FamilySize,Cluster
Male,Yes,72,Lawyer,1.0,Low,,3
Male,Yes,48,Artist,0.0,Average,2.0,0
Male,Yes,55,Artist,9.0,Average,2.0,1
Male,Yes,74,Lawyer,0.0,High,3.0,4
Male,Yes,56,Lawyer,1.0,High,2.0,4
Male,Yes,59,Lawyer,7.0,High,2.0,4
Male,No,25,Entertainment,0.0,Low,2.0,2
Male,Yes,31,Doctor,0.0,Average,2.0,0
Male,No,27,Artist,8.0,Low,4.0,1
Male,Yes,57,Artist,0.0,Average,4.0,0
Female,Yes,39,Homemaker,,High,2.0,0
Male,Yes,27,Healthcare,8.0,Low,2.0,1
Female,Yes,51,Entertainment,8.0,Average,2.0,1
Female,Yes,47,Artist,0.0,Average,5.0,0
Female,No,33,Healthcare,8.0,Low,4.0,1
Male,Yes,56,Artist,0.0,Average,4.0,0
Female,No,33,Homemaker,0.0,Low,3.0,2
Female,No,36,Doctor,0.0,Low,2.0,2
Male,Yes,51,Artist,4.0,Low,3.0,3
Male,Yes,45,Engineer,2.0,Average,2.0,0
Female,No,49,,1.0,Low,1.0,3
Male,No,30,Healthcare,0.0,Low,4.0,2
Female,No,26,Healthcare,6.0,Low,3.0,1
Male,Yes,63,Artist,8.0,Low,1.0,1
Male,Yes,35,Entertainment,8.0,Average,4.0,1
Female,No,19,Marketing,1.0,Low,3.0,2
Male,No,32,Healthcare,7.0,Low,5.0,1
Male,Yes,52,Artist,0.0,Average,3.0,0
Female,Yes,36,Artist,5.0,Low,2.0,1
Female,No,42,Entertainment,7.0,Low,3.0,1
Male,Yes,40,Doctor,0.0,Average,2.0,0
Male,No,39,Entertainment,0.0,Low,3.0,2
Female,Yes,47,Artist,1.0,Average,4.0,0
Female,Yes,61,Artist,1.0,High,2.0,4
Male,Yes,32,Entertainment,1.0,Low,2.0,2
Male,Yes,55,Artist,0.0,Low,1.0,3
Male,Yes,58,Artist,,Average,1.0,0
Female,No,38,Artist,0.0,Low,1.0,2
Male,Yes,63,Artist,0.0,High,2.0,4
Male,Yes,58,Doctor,1.0,Average,2.0,0
Male,Yes,30,Engineer,3.0,Average,3.0,0
Male,Yes,60,Artist,0.0,Average,4.0,0
Male,Yes,68,Executive,1.0,High,7.0,4
Male,Yes,52,Artist,0.0,Low,3.0,3
Male,Yes,38,Executive,0.0,High,5.0,0
Female,Yes,35,Healthcare,10.0,Low,2.0,1
Male,No,18,Doctor,1.0,Low,2.0,2
Male,Yes,30,Homemaker,3.0,Low,2.0,2
Male,No,86,Lawyer,1.0,Low,1.0,3
Female,,19,Healthcare,6.0,Low,5.0,1
Male,No,25,Healthcare,9.0,Low,3.0,1
Male,Yes,59,Entertainment,,Low,4.0,3
Female,No,39,Artist,0.0,Low,1.0,2
Female,Yes,50,Doctor,1.0,Low,,3
Male,No,47,Artist,1.0,Low,1.0,3
Male,Yes,43,Executive,0.0,High,3.0,0
Male,Yes,36,Executive,8.0,Average,4.0,1
Male,Yes,80,Lawyer,1.0,Low,1.0,3
Male,No,36,Artist,0.0,Low,2.0,2
Male,No,27,,2.0,Low,7.0,2
Female,Yes,37,Artist,1.0,High,2.0,0
Male,Yes,46,Executive,0.0,High,3.0,0
Male,Yes,55,Executive,1.0,High,4.0,4
Female,Yes,47,Engineer,9.0,Average,4.0,1
Female,No,28,Healthcare,1.0,Low,3.0,2
Male,Yes,39,Entertainment,9.0,Low,2.0,1
Female,Yes,27,Marketing,1.0,Low,2.0,2
Female,Yes,42,Engineer,0.0,Low,,2
Male,Yes,72,Artist,0.0,Average,2.0,4
Female,Yes,28,Engineer,0.0,Low,2.0,2
Male,No,35,Entertainment,8.0,Low,5.0,1
Male,Yes,39,Executive,9.0,High,5.0,1
Female,Yes,69,Lawyer,0.0,High,2.0,4
Male,No,18,Healthcare,6.0,Low,4.0,1
Male,Yes,46,Artist,,Low,1.0,3
Female,Yes,50,Engineer,1.0,High,2.0,0
Male,No,30,Executive,5.0,Low,5.0,2
Female,No,41,Artist,,Low,2.0,2
Female,No,39,Artist,3.0,Low,4.0,2
Female,No,29,Marketing,8.0,Low,4.0,1
Female,Yes,37,Artist,4.0,Low,4.0,2
Female,Yes,39,Engineer,0.0,Average,2.0,0
Female,Yes,48,Artist,0.0,Average,5.0,0
Female,No,32,Doctor,0.0,Low,3.0,2
Male,Yes,78,Lawyer,1.0,Low,,3
Female,Yes,43,Engineer,0.0,Average,5.0,0
Male,No,29,Marketing,8.0,Low,5.0,1
Female,Yes,28,Engineer,9.0,Average,2.0,1
Male,Yes,80,Lawyer,1.0,Low,1.0,3
Female,No,28,Healthcare,7.0,Low,4.0,1
Male,Yes,71,Artist,6.0,Average,3.0,4
Male,Yes,67,Lawyer,0.0,High,9.0,4
Female,No,26,Engineer,0.0,Low,1.0,2
Female,Yes,47,Engineer,0.0,Average,2.0,0
Female,Yes,43,Artist,2.0,Average,2.0,0
Female,No,27,Healthcare,0.0,Low,4.0,2
Female,Yes,45,Marketing,8.0,Low,4.0,1
Male,Yes,76,Executive,1.0,Low,1.0,3
Female,Yes,43,Artist,3.0,Average,4.0,0
Female,Yes,78,Lawyer,1.0,High,2.0,4
Male,Yes,35,Artist,3.0,Average,3.0,0
Female,No,49,Artist,1.0,Low,1.0,3
Female,No,25,Healthcare,1.0,Low,5.0,2
Male,Yes,37,Executive,0.0,Average,5.0,0
Female,No,32,Healthcare,1.0,Low,5.0,2
Male,Yes,60,Doctor,0.0,Average,2.0,0
Female,Yes,45,Artist,5.0,Average,3.0,0
Female,Yes,49,Homemaker,9.0,Average,3.0,1
Male,No,32,Artist,0.0,Low,5.0,2
Female,Yes,40,Artist,0.0,Low,3.0,2
Male,Yes,59,Artist,2.0,Average,2.0,0
Male,Yes,48,Artist,3.0,Low,5.0,3
Male,Yes,82,Executive,0.0,High,2.0,4
Female,Yes,70,Lawyer,0.0,Low,2.0,3
Male,No,31,Artist,5.0,Low,2.0,1
Female,Yes,72,Lawyer,0.0,High,2.0,4
Male,Yes,50,Artist,3.0,Average,4.0,0
Female,No,23,Engineer,11.0,Low,1.0,1
Female,No,20,Healthcare,2.0,Low,6.0,2
Female,No,22,Healthcare,4.0,Low,3.0,2
Female,No,31,Engineer,8.0,Low,1.0,1
Female,Yes,36,Artist,7.0,Average,2.0,1
Male,Yes,52,Entertainment,,Average,5.0,0
Female,No,29,Artist,,Low,1.0,2
Male,Yes,40,Artist,4.0,Average,4.0,0
Female,No,40,Artist,1.0,Low,1.0,2
Male,Yes,38,Artist,,Low,2.0,2
Female,Yes,85,Lawyer,,Low,,3
Female,No,21,Doctor,1.0,Low,3.0,2
Female,Yes,41,Engineer,4.0,Average,2.0,0
Male,Yes,40,Artist,0.0,Low,2.0,3
Male,Yes,53,Artist,1.0,Average,3.0,0
Female,Yes,42,Artist,5.0,Low,2.0,1
Male,Yes,42,Executive,8.0,Low,2.0,1
Male,Yes,48,Artist,,Average,4.0,0
Male,Yes,59,Artist,7.0,Low,2.0,1
Male,Yes,41,Executive,1.0,Average,3.0,0
Female,Yes,31,Artist,0.0,Average,2.0,0
Female,Yes,49,Artist,1.0,High,5.0,0
Male,Yes,67,Executive,1.0,Low,2.0,3
Male,Yes,35,Artist,4.0,Average,2.0,0
Female,No,26,Healthcare,0.0,Low,3.0,2
Male,,19,Healthcare,9.0,Low,3.0,1
Female,Yes,25,Engineer,6.0,Average,8.0,1
Female,Yes,39,Healthcare,4.0,Low,2.0,2
Male,Yes,63,Entertainment,0.0,Low,2.0,3
Male,No,23,Healthcare,8.0,Low,3.0,1
Female,No,23,Healthcare,0.0,Low,3.0,2
Female,Yes,53,Artist,2.0,Low,1.0,3
Male,No,33,Doctor,0.0,Low,2.0,2
Female,Yes,50,Engineer,,Average,4.0,0
Female,Yes,69,Engineer,0.0,Low,2.0,3
Male,No,37,Artist,2.0,Low,1.0,2
Female,No,20,Marketing,3.0,Low,4.0,2
Female,,85,Lawyer,0.0,High,1.0,4
Female,Yes,49,Doctor,1.0,Average,4.0,0
Male,No,18,Healthcare,0.0,Low,3.0,2
Female,Yes,52,Doctor,0.0,Average,2.0,0
Male,Yes,25,Doctor,,Average,2.0,0
Male,Yes,56,Executive,,High,2.0,4
Male,No,62,,0.0,Low,1.0,3
Female,No,35,Artist,0.0,Low,3.0,2
Male,Yes,28,Engineer,0.0,Average,2.0,0
Female,No,28,Artist,7.0,Low,3.0,1
Male,No,20,Healthcare,0.0,Low,5.0,2
Female,No,27,Homemaker,8.0,Low,1.0,1
Female,No,56,Engineer,,Low,1.0,3
Male,Yes,45,Artist,4.0,Average,4.0,0
Male,No,25,Healthcare,1.0,Low,4.0,2
Male,No,40,Marketing,1.0,Low,1.0,2
Female,Yes,25,Healthcare,,Low,2.0,2
Female,Yes,74,Lawyer,,High,2.0,4
Female,No,23,Healthcare,0.0,Low,4.0,2
Female,Yes,67,Lawyer,0.0,High,2.0,4
Male,No,21,Healthcare,0.0,Low,4.0,2
Female,No,38,Artist,9.0,Low,1.0,1
Male,No,28,Healthcare,0.0,Low,4.0,2
Female,No,32,Healthcare,1.0,Low,5.0,2
Female,No,33,,0.0,Low,4.0,2
Female,Yes,56,Lawyer,1.0,High,4.0,4
Female,Yes,53,Artist,1.0,Low,2.0,3
Male,Yes,57,Executive,1.0,High,5.0,4
Female,Yes,59,Artist,0.0,Average,3.0,0
Female,Yes,25,Healthcare,1.0,High,4.0,0
Male,Yes,59,Artist,0.0,Average,6.0,0
Female,Yes,36,Artist,0.0,Low,4.0,2
Male,Yes,37,Entertainment,7.0,Low,2.0,1
Male,No,22,Doctor,1.0,Low,3.0,2
Male,Yes,43,Artist,1.0,Low,2.0,3
Male,Yes,41,Artist,1.0,Low,2.0,3
Female,No,21,Engineer,0.0,Low,5.0,2
Female,No,49,Engineer,1.0,Low,,3
Male,No,38,Doctor,8.0,Low,1.0,1
Male,Yes,47,Artist,,Average,4.0,0
Male,Yes,70,Lawyer,1.0,High,3.0,4
Female,No,31,Engineer,1.0,Low,4.0,2
Female,Yes,82,Lawyer,0.0,Average,2.0,4
Female,Yes,51,Executive,,Low,1.0,3
Female,No,42,Homemaker,11.0,Low,,1
Male,No,38,Artist,8.0,Low,3.0,1
Male,Yes,18,Executive,0.0,High,4.0,0
Male,Yes,50,Artist,6.0,Average,3.0,0
Female,No,46,Doctor,1.0,Low,,2
Female,Yes,72,Lawyer,1.0,High,3.0,4
Female,No,33,Engineer,,Low,4.0,2
Female,No,25,Homemaker,1.0,Low,7.0,2
Female,Yes,75,Entertainment,2.0,High,2.0,4
Male,No,72,Artist,1.0,Low,1.0,3
Female,Yes,72,Artist,0.0,Average,3.0,4
Male,Yes,36,Entertainment,6.0,Low,6.0,1
Male,Yes,40,Artist,1.0,Low,2.0,3
Female,No,28,Entertainment,0.0,Low,4.0,2
Female,No,28,Doctor,0.0,Low,3.0,2
Male,,19,Entertainment,0.0,High,3.0,0
Male,Yes,43,Artist,0.0,Low,2.0,3
Female,Yes,35,Artist,1.0,Average,2.0,0
Male,Yes,65,Lawyer,1.0,High,2.0,4
Male,Yes,52,Executive,7.0,High,4.0,4
Female,No,40,Artist,1.0,Low,1.0,2
Female,Yes,69,Engineer,9.0,Low,3.0,1
Female,No,22,Healthcare,3.0,Low,3.0,2
Male,Yes,47,Executive,1.0,Average,4.0,0
Male,Yes,29,Marketing,1.0,High,2.0,0
Male,Yes,46,Artist,1.0,Average,3.0,0
Male,No,32,Artist,1.0,Low,2.0,2
Female,No,38,Healthcare,0.0,Low,1.0,2
Male,Yes,59,Artist,0.0,Low,1.0,3
Female,No,26,Entertainment,1.0,Low,1.0,2
Male,No,26,Healthcare,1.0,Low,2.0,2
Male,No,28,Marketing,0.0,Low,1.0,2
Female,Yes,53,Engineer,1.0,Average,3.0,0
Female,No,43,Entertainment,,Low,1.0,2
Male,No,27,Doctor,1.0,Low,3.0,2
Female,No,32,Artist,,Low,8.0,2
Male,No,26,Engineer,0.0,Low,4.0,2
Female,No,31,Entertainment,0.0,Low,2.0,2
Male,Yes,39,Executive,1.0,High,3.0,0
Female,Yes,43,Engineer,1.0,Low,3.0,3
Male,Yes,25,Doctor,1.0,Low,2.0,2
Male,Yes,40,Artist,3.0,High,3.0,0
Female,Yes,40,Entertainment,7.0,Average,2.0,1
Male,Yes,63,Entertainment,,Average,3.0,0
Female,Yes,27,Healthcare,,Low,2.0,2
Male,No,27,Healthcare,1.0,Low,3.0,2
Female,No,19,Healthcare,1.0,Low,2.0,2
Female,Yes,86,Lawyer,0.0,High,2.0,4
Male,Yes,41,Marketing,,High,2.0,0
Female,Yes,27,Artist,4.0,Average,2.0,0
Female,Yes,70,Doctor,0.0,Average,2.0,4
Female,Yes,53,Engineer,8.0,Average,4.0,1
Female,Yes,49,Engineer,,Average,4.0,0
Male,Yes,55,Executive,3.0,Low,,3
Female,,57,Engineer,0.0,Average,4.0,0
Male,Yes,83,Lawyer,,Low,1.0,3
Male,Yes,43,Executive,0.0,High,4.0,0
Male,Yes,36,Doctor,6.0,Low,3.0,1
Male,Yes,74,Lawyer,0.0,Low,2.0,3
Female,No,30,Homemaker,0.0,Low,4.0,2
Female,No,37,Artist,5.0,Low,2.0,1
Female,No,22,Marketing,0.0,Low,1.0,2
Male,No,19,Healthcare,0.0,Low,4.0,2
Male,Yes,70,Engineer,4.0,High,2.0,4
Male,Yes,89,Lawyer,13.0,Low,1.0,1
Male,No,18,Healthcare,,Low,4.0,2
Male,No,25,Doctor,6.0,Low,1.0,1
Female,No,45,Artist,4.0,Low,1.0,2
Female,No,35,Artist,3.0,Low,1.0,2
Female,Yes,37,Engineer,7.0,Low,1.0,1
Female,Yes,39,Engineer,4.0,Average,2.0,0
Female,No,32,Healthcare,1.0,Low,5.0,2
Female,Yes,62,Artist,2.0,Average,3.0,0
Female,Yes,58,Engineer,0.0,Average,4.0,0
Female,No,32,Engineer,,Low,4.0,2
Male,No,25,Healthcare,0.0,Low,5.0,2
Female,Yes,56,Artist,0.0,Average,4.0,0
Female,No,36,Entertainment,10.0,Low,2.0,1
Female,No,30,Healthcare,8.0,Low,3.0,1
Male,No,19,Healthcare,1.0,Low,5.0,2
Male,No,27,Healthcare,0.0,Low,2.0,2
Female,No,38,Doctor,14.0,Low,1.0,1
Male,Yes,46,Artist,8.0,Average,2.0,1
Male,No,29,Artist,3.0,Low,1.0,2
Male,Yes,51,Entertainment,1.0,Average,4.0,0
Male,Yes,55,Artist,0.0,Low,1.0,3
Female,Yes,69,Engineer,1.0,Low,1.0,3
Female,No,26,Healthcare,1.0,Low,8.0,2
Female,Yes,83,Lawyer,0.0,Low,3.0,3
Female,No,39,Healthcare,9.0,Low,1.0,1
Male,Yes,35,Artist,9.0,Low,1.0,1
Male,Yes,19,Marketing,2.0,High,5.0,0
Female,Yes,60,Artist,,High,4.0,4
Male,Yes,35,Artist,,Average,4.0,0
Female,No,53,Engineer,,Low,1.0,3
Female,Yes,86,Lawyer,,Low,,3
Female,No,29,Healthcare,1.0,Low,3.0,2
Female,No,26,Doctor,0.0,Low,1.0,2
Male,No,36,Engineer,8.0,Low,1.0,1
Female,No,22,Homemaker,0.0,Low,4.0,2
Male,No,19,Marketing,0.0,Low,5.0,2
Female,Yes,20,Lawyer,1.0,Average,3.0,0
Male,No,43,Healthcare,3.0,Low,3.0,2
Female,No,42,Artist,,Low,3.0,2
Male,No,43,Entertainment,1.0,Low,2.0,2
Female,Yes,50,Engineer,4.0,High,3.0,0
Male,No,25,Entertainment,1.0,Low,2.0,2
Male,Yes,61,Artist,1.0,High,2.0,4
Female,Yes,28,Healthcare,0.0,Average,2.0,0
Male,No,38,Artist,1.0,Low,1.0,2
Male,No,25,Executive,12.0,Low,3.0,1
Female,No,18,Healthcare,9.0,Low,5.0,1
Male,Yes,43,Entertainment,1.0,Average,5.0,0
Female,No,27,Artist,8.0,Low,1.0,1
Female,No,60,Entertainment,1.0,Low,2.0,3
Male,Yes,75,Lawyer,2.0,Low,1.0,3
Female,No,31,Doctor,,Low,4.0,2
Male,No,23,Doctor,6.0,Low,4.0,1
Male,No,36,Artist,8.0,Low,1.0,1
Male,No,30,Doctor,1.0,Low,1.0,2
Male,Yes,56,Artist,1.0,Average,2.0,0
Female,Yes,52,Artist,2.0,Low,2.0,3
Male,Yes,39,Entertainment,0.0,Low,1.0,2
Female,No,35,Artist,5.0,Low,1.0,1
Male,Yes,33,Engineer,0.0,Average,2.0,0
Female,No,25,Artist,0.0,Low,6.0,2
Female,Yes,27,Artist,0.0,Average,2.0,0
Male,Yes,35,Artist,1.0,High,3.0,0
Female,Yes,41,Artist,1.0,Average,2.0,0
Female,Yes,49,Artist,,Average,3.0,0
Female,Yes,46,Artist,8.0,Average,2.0,1
Female,No,31,Healthcare,,Low,2.0,2
Male,No,49,Doctor,,Low,1.0,3
Female,No,26,Artist,9.0,Low,1.0,1
Male,Yes,43,Doctor,13.0,High,2.0,1
Female,Yes,30,Artist,8.0,Low,4.0,1
Female,Yes,70,Artist,1.0,Average,4.0,4
Female,No,28,Artist,,Low,1.0,2
Female,Yes,89,Lawyer,3.0,High,1.0,4
Female,Yes,42,Homemaker,6.0,High,4.0,0
Female,Yes,37,Entertainment,6.0,Average,3.0,1
Male,Yes,29,Executive,1.0,Average,3.0,0
Female,Yes,68,Artist,1.0,High,2.0,4
Female,No,25,Engineer,1.0,Low,1.0,2
Male,No,29,Healthcare,1.0,Low,,2
Female,Yes,48,Doctor,0.0,Low,2.0,3
Female,Yes,51,Doctor,1.0,Average,3.0,0
Female,Yes,40,Engineer,1.0,High,5.0,0
Male,Yes,47,Artist,0.0,Average,6.0,0
Male,Yes,39,Executive,,High,3.0,0
Male,Yes,35,Executive,1.0,Average,4.0,0
Female,No,19,Healthcare,2.0,Low,3.0,2
Female,No,21,Healthcare,7.0,Low,,1
Male,Yes,46,Entertainment,0.0,Average,3.0,0
Male,Yes,86,Lawyer,0.0,Low,1.0,3
Male,Yes,66,Artist,0.0,High,2.0,4
Male,No,42,Marketing,1.0,Low,5.0,2
Female,Yes,73,Lawyer,1.0,High,2.0,4
Male,Yes,72,Engineer,1.0,Low,1.0,3
Male,Yes,53,Artist,0.0,Low,3.0,3
Female,Yes,39,Artist,8.0,Average,2.0,1
Female,No,27,Homemaker,9.0,Low,1.0,1
Male,Yes,63,Entertainment,1.0,Average,,0
Female,No,23,Healthcare,1.0,Low,3.0,2
Female,No,30,Entertainment,0.0,Low,4.0,2
Female,Yes,39,Artist,5.0,Average,2.0,0
Male,Yes,26,Artist,1.0,Average,3.0,0
Female,Yes,50,Entertainment,7.0,Low,3.0,1
Female,Yes,45,Artist,1.0,Average,2.0,0
Female,No,62,Entertainment,2.0,Low,1.0,3
Female,No,27,Doctor,1.0,Low,3.0,2
Male,Yes,57,Entertainment,1.0,Low,,3
Female,Yes,30,Engineer,1.0,Average,7.0,0
Male,No,32,Healthcare,7.0,Low,4.0,1
Male,No,18,Executive,,Low,5.0,2
Male,No,47,Artist,3.0,Low,3.0,3
Female,No,32,Artist,4.0,Low,4.0,2
Female,Yes,32,Engineer,5.0,Low,3.0,1
Male,Yes,67,Doctor,1.0,Average,4.0,4
Female,Yes,77,Lawyer,0.0,High,2.0,4
Male,Yes,79,,0.0,Average,2.0,4
Male,No,31,Entertainment,1.0,Low,1.0,2
Male,Yes,42,Artist,0.0,Low,3.0,3
Female,No,18,,0.0,Low,6.0,2
Male,Yes,50,Artist,1.0,Average,4.0,0
Male,Yes,71,Artist,0.0,Average,5.0,4
Female,Yes,72,Lawyer,1.0,Low,3.0,3
Male,Yes,47,Artist,,Low,3.0,3
Male,Yes,45,Artist,9.0,Average,2.0,1
Female,No,40,Engineer,9.0,Low,5.0,1
Female,No,36,Engineer,4.0,Low,1.0,2
Female,No,42,Artist,,Low,1.0,2
Male,No,30,Healthcare,4.0,Low,4.0,2
Female,No,29,Healthcare,2.0,Low,4.0,2
Male,No,28,Engineer,0.0,Low,5.0,2
Male,,22,Healthcare,,Low,2.0,2
Male,Yes,85,Lawyer,,Low,1.0,3
Female,Yes,40,Artist,1.0,Average,2.0,0
Female,Yes,52,Artist,14.0,Average,2.0,1
Male,Yes,47,Artist,0.0,Low,,3
Male,No,26,Artist,6.0,Low,6.0,1
Female,No,55,Marketing,3.0,Low,1.0,3
Female,No,20,Doctor,4.0,Low,4.0,2
Female,Yes,87,Lawyer,0.0,High,2.0,4
Male,No,28,Healthcare,0.0,Low,2.0,2
Male,No,38,Artist,2.0,Low,2.0,2
Male,Yes,42,Entertainment,1.0,Low,2.0,3
Male,Yes,42,Marketing,0.0,High,6.0,0
Female,No,29,Engineer,1.0,Low,4.0,2
Male,No,32,Doctor,0.0,Low,4.0,2
Male,Yes,38,Executive,,High,5.0,0
Female,Yes,59,Artist,1.0,High,2.0,4
Male,No,22,Healthcare,0.0,Low,2.0,2
Female,No,26,Homemaker,9.0,Low,,1
Female,Yes,78,Artist,1.0,High,2.0,4
Female,No,32,Healthcare,0.0,Low,3.0,2
Male,Yes,37,Artist,0.0,Average,4.0,0
Male,Yes,37,Healthcare,1.0,High,4.0,0
Male,No,67,Lawyer,,Low,2.0,3
Male,Yes,47,Artist,0.0,High,4.0,0
Female,Yes,68,Lawyer,0.0,High,2.0,4
Male,No,30,Healthcare,3.0,Low,5.0,2
Female,Yes,48,Entertainment,2.0,Low,1.0,3
Female,No,43,Artist,6.0,Low,1.0,1
Male,Yes,33,Healthcare,9.0,Low,2.0,1
Male,Yes,31,Healthcare,0.0,Average,5.0,0
Male,Yes,32,Healthcare,1.0,Low,2.0,2
Female,No,21,Healthcare,1.0,Low,4.0,2
Female,No,29,Homemaker,2.0,Low,4.0,2
Female,Yes,35,Artist,1.0,Low,2.0,2
Male,Yes,46,Artist,0.0,Low,3.0,3
Female,Yes,38,Artist,9.0,High,2.0,1
Female,No,32,Healthcare,1.0,Low,3.0,2
Female,No,28,Artist,3.0,Low,7.0,2
Female,Yes,68,Lawyer,3.0,Low,1.0,3
Female,Yes,45,Artist,4.0,Low,1.0,3
Male,Yes,58,Artist,0.0,Average,3.0,0
Male,No,28,Entertainment,1.0,Low,2.0,2
Female,No,32,Healthcare,12.0,Low,3.0,1
Male,No,30,Doctor,1.0,Low,1.0,2
Female,Yes,42,Homemaker,3.0,Average,4.0,0
Male,No,22,,,Low,6.0,2
Male,No,41,Artist,,Low,3.0,2
Female,No,18,Healthcare,6.0,Low,4.0,1
Female,Yes,29,Healthcare,8.0,Low,3.0,1
Female,No,33,Healthcare,0.0,Low,3.0,2
Male,No,47,Artist,1.0,Low,,3
Female,Yes,57,Doctor,1.0,Low,2.0,3
Male,Yes,36,Executive,1.0,Low,3.0,2
Male,Yes,57,Executive,1.0,High,3.0,4
Male,No,18,Healthcare,1.0,Low,2.0,2
Male,,52,Artist,1.0,Average,5.0,0
Male,Yes,52,Artist,1.0,Average,6.0,0
Male,No,51,Artist,6.0,Low,4.0,1
Female,Yes,37,Entertainment,0.0,Average,2.0,0
Male,No,36,Marketing,0.0,Low,1.0,2
Female,No,29,Healthcare,9.0,Low,3.0,1
Male,Yes,45,Artist,1.0,Average,4.0,0
Male,No,61,Artist,0.0,Low,1.0,3
Male,Yes,52,Entertainment,1.0,Average,4.0,0
Female,Yes,49,Homemaker,14.0,Low,1.0,1
Male,Yes,40,Entertainment,,Average,2.0,0
Female,No,31,Healthcare,1.0,Low,5.0,2
Male,Yes,42,Entertainment,1.0,Low,3.0,3
Male,Yes,51,Engineer,1.0,Average,5.0,0
Female,No,42,Healthcare,8.0,Low,1.0,1
Male,No,29,Doctor,1.0,Low,4.0,2
Female,No,33,Healthcare,8.0,Low,1.0,1
Male,No,27,Healthcare,,Low,3.0,2
Female,No,21,Healthcare,0.0,Low,4.0,2
Male,Yes,35,Artist,9.0,Average,3.0,1
Female,No,42,Doctor,0.0,Low,1.0,2
Female,No,41,Artist,2.0,Low,1.0,2
Male,No,39,Artist,0.0,Low,3.0,2
Female,No,28,Doctor,14.0,Low,1.0,1
Female,Yes,45,Engineer,3.0,Average,,0
Female,Yes,61,Doctor,1.0,Average,2.0,0
Male,Yes,62,Artist,0.0,Average,4.0,0
Male,Yes,65,Entertainment,1.0,Average,2.0,0
Male,Yes,45,Doctor,1.0,Average,2.0,0
Female,Yes,26,Engineer,9.0,Low,2.0,1
Female,No,25,Artist,4.0,Low,5.0,2
Female,Yes,45,Artist,1.0,Average,4.0,0
Male,Yes,43,Executive,0.0,High,4.0,0
Male,Yes,49,Executive,1.0,High,3.0,0
Male,Yes,55,Artist,1.0,Average,2.0,0
Female,No,37,Artist,3.0,Low,1.0,2
Male,Yes,65,Entertainment,1.0,High,2.0,4
